copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
92_2,97297,356806,97793,104798,0,105793,96420,103784,104307,107681,99731,102343,0,115697,101153,105779,103798,0,0,102827,100060,94877,98147,102282
92_3,0,105779,0,99731,104798,101153,97793,94877,102827,103784,96420,102282,105793,115697,104307,102343,0,107681,356806,98147,0,97297,103798,100060
930_1,103028,105766,0,105239,0,95658,104331,0,100837,106537,96832,104865,101963,104024,106194,101484,103399,102440,107600,99950,98042,0,108007,99104
930_2,104331,101484,99950,105239,0,104865,105766,101963,104024,107600,96832,102440,0,95658,100837,98042,108007,0,0,103399,106537,99104,103028,106194
930_3,0,98042,0,96832,105239,100837,99950,99104,103399,101963,105766,106194,104865,95658,104024,102440,0,107600,101484,103028,0,104331,108007,106537
931_1,89697,91791,0,98439,0,87110,88993,0,94063,146277,87844,95990,171051,95437,94805,100484,93890,96832,101668,90682,86226,0,100324,97549
931_3,0,86226,0,87844,98439,94063,90682,97549,93890,171051,91791,94805,95990,87110,95437,96832,0,101668,100484,89697,0,88993,100324,146277
932_1,91290,91917,0,92866,0,86190,90840,0,95581,89264,94928,94641,93643,92417,106219,94316,90289,88746,97233,86878,85160,0,97916,87753
932_2,90840,94316,86878,92866,0,94641,91917,93643,92417,97233,94928,88746,0,86190,95581,85160,97916,0,0,90289,89264,87753,91290,106219
932_3,0,85160,0,94928,92866,95581,86878,87753,90289,93643,91917,106219,94641,86190,92417,88746,0,97233,94316,91290,0,90840,97916,89264
933_1,105154,99657,0,98831,0,92902,109759,0,102198,103896,97967,106309,95352,96377,102739,0,107791,104631,0,108678,93767,0,100842,105713
933_2,109759,0,108678,98831,0,106309,99657,95352,96377,0,97967,104631,0,92902,102198,93767,100842,0,0,107791,103896,105713,105154,102739
933_3,0,93767,0,97967,98831,102198,108678,105713,107791,95352,99657,102739,106309,92902,96377,104631,0,0,0,105154,0,109759,100842,103896
934_2,127987,0,121009,125368,0,0,121964,114061,123113,0,120017,124438,0,119219,0,117101,132449,0,0,118560,127470,131222,126499,122876
934_3,0,117101,0,120017,125368,0,121009,131222,118560,114061,121964,122876,0,119219,123113,124438,0,0,0,126499,0,127987,132449,127470
936_1,99193,99783,0,105581,0,95978,98483,0,103086,98769,92868,105925,100775,102692,103467,102132,103745,105374,105442,94200,101635,0,107035,97282
936_2,98483,102132,94200,105581,0,105925,99783,100775,102692,105442,92868,105374,0,95978,103086,101635,107035,0,0,103745,98769,97282,99193,103467
936_3,0,101635,0,92868,105581,103086,94200,97282,103745,100775,99783,103467,105925,95978,102692,105374,0,105442,102132,99193,0,98483,107035,98769
937_1,121470,119950,0,130804,0,121269,123837,0,127794,122290,121920,347531,123254,127088,127527,128761,118864,122796,0,126321,117421,0,125805,124633
937_2,123837,128761,126321,130804,0,347531,119950,123254,127088,0,121920,122796,0,121269,127794,117421,125805,0,0,118864,122290,124633,121470,127527
